Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
Good Location and Smart Room Design,"Looked forward to checking in so that our family could experience the room design which I had read was small, yet compact with complete amenities. It was refreshing to stay in the hotel as it popped pleasant surprises like the foldable stool and desk that could be tucked away. My 10-year old daughter loved the smartness of the design, especially the bunk bed. Breakfast was not buffet style but the portion was good. The location was ideal as the hotel was liked to international Building and next to Shaw Centre. Though it rained, we managed to walk from Orchard MRT station without getting wet as the journey was sheltered. The only thing that bugged my family was my hubby found the bed sloping downwards towards his side of the bed and was unable to sleep well.",40,Dec-21,Undisclosed,5,0
Convenient,"All good, convenient location. Service is good. The staff is friendly. The only downside was I stayed for 6 nights, and keep repeating the same breakfast. The room is as per the picture. The bed was too soft for me.",40,Dec-21,Undisclosed,1,0
Cool futuristic hotel with a view,We wanted to try out the hotel due to the location as we were from a wedding venue. We've also seen reviews of how the hotel looks cool. There's a 100 SGD deposit to be made which will be returned upon checking out. We love the bathroom and the view - thanks for the heads up on the privacy part in there ;) A small compact room with lovely lightings. The adjustable bed height enhanced the tv viewing experience. The bed however sank in a bit after prolonged resting on it.  We might come back to experience the bigger rooms next time!,50,Dec-21,Undisclosed,5,0
"Excellent staying at YOTEL Hot EL service was excellent. The bed was comfortable and my son say 'CAN WE JUST STAY HERE """,😀😀😀 location was great near shopping mall easy to find food. We all liked the toilet very clean👍👍👍 and can see the view. And the colour was nice at the corridor going to the room. Can said all was EXCELLENT. ,50,Dec-21,Undisclosed,1,0
Staycation,"Given the location, it's convenient and value for money. Kids love the bunk bed. The night view from the bathroom is beautiful. But the room size is generally too small for a family of 4 and the queen bed is too soft.   ",30,Dec-21,Undisclosed,1,0
Tiny bed and Bad customers service-Dec 2021 stay,"Indicated room size includes the toilet area, which took up a third of the space. Hotel staff will not respond to requests made during booking. Hotel charges SGD21.40/day for complimentary car parking! No view from room except from toilet area! Staff are not helpful and room prices kept rising from published when you book their rooms.  Poor value for money to stay here.",10,Dec-21,Undisclosed,61,48
December 2021 - Leisure Stayaction,"The hotel is what you see it to be in the booking app or website. Simple and it's at a strategic location just beside Isetan Orchard. The check in process was very slow so you may want to come as early as about 2pm. While it seemed to be a ""smart"" hotel which it was sort of what it is, bear in mind that they only have charging plugs by one side of the bed and if you want extra ports, you may have to go find it around the room which wasn't so convenient.   Tried the pools and thankfully it wasnt fully reserved. Nothing really outstanding as they have a basic pool no jacuzzi etc. The pool water was also surprisingly cold so it may take awhile to get used to it. ",30,Dec-21,Undisclosed,1,0
The condition was quite bad,"My bed was super close to the washroom hence wet and humid. The table plug was not working and I struggled to charge my devices, the overall experience was quite bad and I felt that there was no value for money.",10,Nov-21,Undisclosed,1,0
Comfortable stay,"Great getaway for a short 2D1N. Well equipped for a small space; comfortable stay. Enjoyed the L27 room view. Good location with plenty to eat, shop and play. Check-out can be later - 11am is too rush.",50,Dec-21,Undisclosed,1,0
Very uncomfortable sinking bed,"Check in took very long. Queue was snaking outside the hotel. Took an hour more to have our room ready. Place was very nice, but the bed was so bad we moved to the floor to sleep. It was so soft in the middle we just sank in and was just very uncomfortable for our backs. ",20,Dec-21,Undisclosed,1,0
Staycation,#NAME?,30,Dec-21,Undisclosed,2,0
nice and comfortable,would consider going back to stay again and recommend this hotel to my friends. can go for staycation during christmas and go see the christmas lights around orchard. also went to get the free cocktail - can choose from a variety of options!,50,Dec-21,Travelled with family,2,0
Awesome,"I've been here twice, so i'm used to the environment and hospitality of the hotel staff. but only this time, i didn't like the view from my room as before the first. but i would understand that currently is the holiday/festive period, so it's just a small issue for me. Otherwise, all is good!",40,Dec-21,Undisclosed,1,0
Short stay,Value for money in Singapore. Room is small but no problems. Good location in the busy city shopping area. Check-in was expectedly delayed due to a full-house hotel but it was still a positive wait. MRT subway is nearby.,50,Dec-21,Undisclosed,2,0
1-Day Staycay,"Located in the prime area. Value for money. Smart usage of space and technology (though some may find it not spacious enough). New experience of sleeping in a bunker bed (though it's not recommended for the young kids). Soft pillows and mattress (though one may feel like being sunk into the bed, there is no backache on the next day).",40,Dec-21,Undisclosed,1,0
Nice hotel in town,Good experience with Yotel will come back again. Room are clean and location is very convenience. Near to a lot of shopping malls and restaurants.10 mins walk to cinema and malls. Highly reccomanded...,50,Dec-21,Undisclosed,1,0
"Good, fun, cool, relaxing","It is good if you like to shop at ION orchard, TANGS, ISETAN as it is very convenient to just walk and get what you want easily as it is right in the smack of town. It is good to go with friends too to chill and relax like having a days off from work and stress, and with robots assisting you, you will not need to worry and even have pictures with the robots ;)",40,Nov-21,Undisclosed,2,0
"Comfy beds, cosy room and good location....what more to ask for?","Just came back after my stay at the Yotel Singapore, and, it was a wonderful stay!  The hotel is well located at a good part of Orchard, just slightly away from the malls, but spoilt for choice of amenities.  Convenience stores, restaurants, cafes, bistros and sidewalk kiosks are widely available the moment you step outside,  For those who want to satisfy their burger cravings, Shake Shack is just across the road.  Accessing the hotel is easy.  From Orchard MRT, you just walk via a series of tunnels, head up to Shaw Centre, then into International Building, take the lift to level 2, and the welcoming hotel lobby is right in front of you.  The room, or cabin that we were given was small, but rather than feeling claustrophobic, it gave out a warm cosy vibe, like staying in your…",50,Dec-21,Undisclosed,3003,151
Very modern hotel - quite unfriendly staff,"So first good points - very well located hotel with very modern amenities. I was initially worried that the room would be small but in fact the space is very well organized and with high ceiling there is no feeling of smallness. Hotel restaurant is very good and has good offers on drinks. The hotel boasts about technology - in the rooms, at reception, with robots etc.. BUT the whole point of technology is not to replace human relationships - I was really surprised by lack of politeness of staff which is very uncommon in Singapore...and I don't mean by a single person, but several employees at reception... so whenever I went to reception to ask about something I felt like I was bothering and told off.. quite unbelievable in hospitality business.. and I don't think the room rate…",30,Nov-21,Undisclosed,16,4
