Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
"Great service, nicely decorated","Best boutique hotel I've stayed at. Immediately was greeted cheerfully by Daryl at the front desk and he helped to check me in swiftly. I was celebrating my anniversary with my bf and he offered early check in and late check out as well as a complimentary glass of wine at Ginett. I love the style of this hotel and the nice bar and french restaurant below! Everything was good. Room was small but tastefully done. Will stay here again! Only thing was the breakfast. wasn't fantastic but still of great value. The girl server at breakfast was a bit angry and impatient when it came to taking our orders. But other than that, pleasant stay! Will come back again to stay and dine at Ginett too!",50,Apr-22,Undisclosed,2,0
Staycation,Smooth check in! Leaving a review before I even complete my stay because the staff (Bella) was really friendly and provided a complimentary upgrade for my birthday! Rooms were clean and pleasant! Thank you Bella! 😊,50,Mar-22,Travelled as a couple,1,0
"The service rendered is professional. One of the service staff, Hema, is friendly and quick to help.",Cozy room good for personal use. The service staff are professional and efficient. The coffee machine is a nice touch and the room is clean. Room is a little dark and  bring your own extension cord as there is only one socket.,40,Mar-22,Undisclosed,1,0
"Simple, Welcoming & Cozy Hotel","Was recommended to stay here by a friend. No regrets choosing this hotel for the staycation. Simple and cozy. Location was accessible with a few MRT stations nearby. Rooms here were in the smaller size but comfortable. Great location! From the moment we stepped into the main entrance we felt welcomed. Service was excellent throughout from the hotel to the restaurant. Would like to thank all the staffs from reception and housekeeping: Yvonne, Bella, Rina, Howard, Aiman, Daryl, Hema and Azhar that provided great service throughout our few days stay, even when we requested some items late at night/early morning. Definitely will return some time soon.",50,Mar-22,Travelled as a couple,3,0
"Good service and location, hygiene can be better.","Thanks to the Team, especially HSKP SHAH for the good service. The hotel is close to a variety of eateries/cafes so it’s good for both locals & tourists to explore this area during their stay here.  The only downside was to find a round patch of stain on the bedsheet, not sure if it’s dried blood based on the colour. It did gross me out.",40,Mar-22,Travelled as a couple,114,44
Could have been better,I wrote in to reservations in advance to ask for early check in as it was my wife’s birthday stayk. This was given by the reservations team to be at 1pm.   Imagine my surprise when I checked in at 1.15 only to be told that the room was not available and I had to show email proof that reservations had indeed given me early check in. Honestly I had expected more given the rave reviews I had read but my experience left me wanting much more.,30,Mar-22,Travelled as a couple,1,0
Centrally located,"Had a pleasant stay overall, great location, close to public transport, and amazing customer service.  Check in and check out was smooth, nice restaurants and food outlets around.  Thanks to Bella at reception.",40,Mar-22,Travelled as a couple,1,0
Amazing staycation!,We decided to book Hotel G as we really like the location and also we really like the hotel based on our previous visit. This visit did not disappoint (: hotel staff were really friendly and warm (thanks Daryl!) and the room was immaculate. Small and cosy but really clean. Definitely worth another revisit for another staycation.,50,Dec-21,Travelled as a couple,2,0
"Great Stay, Amazing Service","Had an amazing staycay with my partner away from the hustle and bustle. Hotel looks new, funky and modern looking. Room is cosy, very clean and aesthetically pleasing. Huge shout-out to Howard and the front office team for the wonderful service and fast and smooth check in process. Highly recommended and will definitely return!",50,Dec-21,Undisclosed,1,0
Amazing Stay,"Had a wonderful stay with my partner at Hotel G. The room was comfortable and cozy. We were attended by the friendly and helpful staff at reception. Special shout out to front office manager Howard and his team Debbie, Bella and Firdaus for being attentive during our staycation. Highly recommend this excellent hotel to everyone. We will definitely come back again!!  Thanks all for great hospitality.",50,Mar-22,Undisclosed,1,0
"Excellent Service, Comfortable Room","Booked the hotel to relax and get away from reality. Was checked in smoothly by front desk staffs Natalie, Debbie & Nana. All information was clearly informed during the check in. Room was in great condition (got a corner quiet room) Loved the comfy bed! And cool addition of the dreamcatchers. Location wise was awesome! Surrounded by so many food and shopping options! Definitely will return again",50,Mar-22,Travelled with friends,1,0
"2nd staycay, and will still be back","This review came really late relative to our second staycay here, but I couldn't live with myself if I didn't come to sing praises for this hotel, and more importantly, its staff. It's going to be a long read, so I apologize in advance.  Our (my fiancé and I) first time staying in Hotel G was last year when we decided to use my SRV vouchers to book a staycay during the pandemic. We stumbled upon Hotel G because the partner was looking for a boutique hotel, and personally I wasn't expecting too much because my impression of boutique hotels was that they were usually quite slip-shod or badly-maintained.  After our first stay, however, I really had to eat my words back because I was so impressed! Our room was small (would be lying if I said it wasn't), but it was so cozy and just…",50,Feb-22,Undisclosed,1,0
