Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Best view in Singapore!!!,"My friend and I celebrated our birthdays by way of a staycation, and booked a package complete with a complimentary afternoon tea. We were given a complimentary upgrade to a premier Bay view room, what a stunning view!!!! The room was impeccable, service and food amazing. A big thank you to Rhea and Samantha for making our stay so special!",50,Sep-21,Travelled with friends,1,0,Fullerton
Thank U for the excellent service,"10 Sep 21 was our first visit to the Bay Hotel. We chose it for its excellent view, but left impressed by the excellent service provided by Samantha (Front Office) and her colleagues from the Concierge Department ! Thanks for taking the additional effort to surprise my wife (for her birthday) during check-in ! Despite helping me with this during your peak hour, you did it with a smile. Your excellent service will definitely be the main reason for our next visit. Thank you Samantha and all !🙂",50,Sep-21,Travelled as a couple,2,0,Fullerton
Happy Birthday Celebration ,"Overall, we love the ambiance and the excellent service. Daniel Lee was amazing and attentive. He's definitely a great asset no matter where he goes in his career.   The food was tasty and a good portion. The only feedback we had was the truffle fries, we feel that it is a little over fried hence hard and dry and too much salt.   Nevertheless,  will definitely be back again.",50,Sep-21,Travelled with friends,55,25,Fullerton
Excellent with 5 Stars,"Amazing Service & High Tea experience , done by Azfarz, Sibil, Emma and Daniel. Love how attentive the High Tea experience has been. Definitely 5 Stars ⭐⭐⭐⭐⭐. Looking forward coming back.   Shout out to Daniel for a wonderful service",50,Sep-21,Travelled as a couple,7,2,Fullerton
60th Birthday lunch,"Booked lunch at Le Brassiere resturant thinking that it had a MBS view. Unfortunately not; however, staff quickly resolved the ""situation"" by moving us to the Lantern resturant whilst still using the La Brassiere Ala Cate menu ;-) Enjoyed a delicious meal, with excellent service  by Lotha, Emma, Daniel and Xtn Rong who made the day special! The BD cake and ""momento"" photo was an unexpected but appreciated surprise - thanks team FBH ;-)",50,Sep-21,Travelled as a couple,1,0,Fullerton
"Amazing service by daniel, maria and tyson","We came here for our birthday and was pleasantly surprised with not just 1 but 2 cakes. They even brought us a printed picture! Daniel's impeccable service has indeed left an impression, his attention to details and engaging personality has brought our experience to a greater level. Thank you for amazing our birthday and first time an enjoyable one!  Gina",50,Sep-21,Travelled with friends,3,4,Fullerton
Birthday Celebration at Fullerton Bay,"Had the best birthday staycation!!!! Many thanks to the lovely staffs for the warm hospitality, and the kind offer to upgrade my bay view room to the Clifford Suite! The 180deg view of Marina Bay was perfect! Blessed with good weather, company, food, we only wish the stay was longer !😜",50,Sep-21,Travelled with family,3,0,Fullerton
One of top few staycation experience I’ve done!,"I will like to express my heartfelt gratitude and appreciation for the Fullerton Bay Hotel Singapore service team once again for making my staycation a memorable and enjoyable one. As per my previous email to General manager, the stay was very much because of an enjoyable one in Fullerton Hotel Singapore. The staff in Fullerton Bay Singapore have also provided such an impeccable service that made me book straightaway for another staycation during the week of my birthday.In fact, I will be back in the Fullerton Bay Hotel to have the Heritage Dim Sum Brunch this coming Sunday.   Truly enough, the staff that got me booked a second stay straight away was Samuel, the service staff from the front desk. Samuel attended my check-in in the morning, the attitude, hospitality and warmth he…",50,Sep-21,Travelled solo,205,69,Fullerton
Great service!,"We had the best and warmest staff to attend to us. His name is Sibil, a friendly chap who gave good recommendations for cocktails. They have amazing gin tonic cocktails for 11$ during happy hours. Must try!",50,Sep-21,Travelled as a couple,1,0,Fullerton
Recommended!,"It’s my first time visit this place. Very nice ambient , cosy and friendly staffs! I would like to recommend the food here. If you not sure what to eat, you can definitely ask the staff.  Price is also affordable. I Will Definitely will visit again.",50,Sep-21,Travelled with friends,2,0,Fullerton
"Wonderful room, food, and service","I and my wife hold solemnization and wedding dinner at Fullerton Bay Hotel. During this time, Kumar / Mano and the team were very attentive and supportive. They even help us with the wedding errands. My experience there was very satisfying.",50,Aug-21,Travelled as a couple,1,0,Fullerton
Amazing Afternoon Tea with Friends,"5/5 would even  be a 10. Great service and amazing food.  Would love to come again. The Landing Point team is awesome, great team thanks Lotha, Maria, Olivia, Emma.   And touch by the photo remembrance, a good surprise. Unlimited savouries and scones, love the king salmon..",50,Sep-21,Travelled with friends,1,0,Fullerton
Best high tea experience in awhile!,We had a blast celebrating my birthday at the Landing Point. Will be sure to be back! A huge thanks to the staff for the warm hospitality. The food was great and the ambience too. We had an enjoyable time. 😊,50,Sep-21,Travelled with friends,1,0,Fullerton
Afternoon Tea,Enjoyable high tea with a view. Savory items and drinks free flow. Lovely scones. Interesting tea and coffee selection to experiment on your pairing in the high tea. Service was prompt. Definitely a chillout place to unwind.,50,Sep-21,Travelled with family,4,0,Fullerton
Daniel Lee and Kumar were the best staff ever!,Came to La Brassiere to celebrate our engagement and Daniel and Kumar really looked after us so well.  Food was impeccable. Filled my hungry stomach after I was unable to eat the whole day before proposing LOL. Good choice to come here haha,50,Sep-21,Travelled as a couple,1,0,Fullerton
Afternoon High Tea,"5 stars!  We were half an hour too early for the high tea to commence. However, instead of asking us to wait elsewhere and come back later, Maria offered us a table along the walkway to sit while waiting. We saw that there were table seatings closer to the glass window with a view, so we enquired if we could get the seats there. Unfortunately, as we made the booking late, she informed that it was fully booked but would make the arrangements if there was a cancellation. Shortly after, she came back to inform us that there was indeed a window table available for us. We were very pleased that she took action immediately to see if she could help us secure a window seating instead of brushing our request off.  Once we were seated, Maria also offered to get us glasses of water so that…",50,Sep-21,Travelled with friends,1,0,Fullerton
