Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Excellent stay at Valley wing during Pharse 2 heighten alert Jun 2021,"We were deciding if we should continue with our staycation during this period due to the various restrictions. We were really glad we went ahead with it. Everyone tried their best to make us feel welcome, from the moment we stepped in, we were warmly received. Check in was a bliss and the room was ready when we arrived at 1.30pm. A high tea and canapes set with champagne/red and white wine was served to us in the room before 3pm! Breakfast was also served on time and the team tried their best to accomodate our request... Yummy valley wing eggs!! We booked the 28 hr package so there was no rush to check out, we did our buds, splash and pool and had another high tea set sent to the room. A special thank you to the entire valley wing team working on 2nd and 3rd of Jun 21. My family…",50,Jun-21,Travelled with family,2,2,ShangriLa
Great service,Amazing service and amenities.worth every minute and penny of our holiday. Overall package was wonderful. Highly recommended for a home away from home. Facilities were greatly assisted and enjoying. In room dining and service was excellent.all requests were happily granted.,50,Jun-21,Travelled with family,1,0,ShangriLa
So good we booked to stay again,"We have regularly eaten at The Line and gone to Buds pre Covid but never stayed at the hotel, but we have been missing out! This hotel is the perfect place to bring young children and toddlers. My 3-year-olds own words were that she was treated like a princess! From the birthday cake in the room to the lifeguards, splash zone and buds staff all learning her name, the staff really helped make this staycay special for us. The upgrade to the splashzone since last year to include the slides is fantastic and a highlight for us. We were a little concerned with all the restaurants being closed but the breakfast, afternoon tea and canapes served in the room (we took the deal to upgrade to the garden room 1 bed suite, well worth it for a family!) we plentiful and delicous. We ordered…",50,May-21,Undisclosed,11,19,ShangriLa
First Shangri-La Stay at the Valley Wing,"We booked a short 1 night getaway at the Valley Wing (hightea/canapes/freeflow of champagne and alcohol package) and it turned into a 2 nights stay!   Food and drinks are well presented and delicious. The room is very spacious and good lighting and we spent half the day working in the room whilst enjoying the food and drinks. The entire experience from the staff at arrival to room services is very warm and pleasant. Pool is clean and tranquil surrounded by the lovely old day charms of the Shangri-La hotel.   Some mishaps happened between the night and next day, the house keeping team attended to us fast and tried to rectify the problem with a lot of assurance. Upon identifying the problem, the team decided to compensate us with an upgrade to their suite even though all we had…",50,May-21,Undisclosed,7,4,ShangriLa
Staycation for Partners Bday,It was a great staycation and the pool water was not freezing at all. Breakfast was great and served in the room due to the restrictions. Bathroom was very clean. Room serving was excellent. We had lots of fun!,50,May-21,Travelled as a couple,2,0,ShangriLa
Perfect staycation for families with young kids,"I love how this hotel is especially designed to have activities for young kids (< 10 years old). My family and I, we have been to Shangri-La Singapore more than 2 times for the past year for staycation and the kids like it every single time.",50,May-21,Undisclosed,12,13,ShangriLa
Weekend Staycay,"My first time at the Orchard location, and I loved it! Fabulous service, and we were very kindly upgraded to a Valley Wing room. Loved the decor and size of the room as well as the huge marble bath. Together with the little touches like fresh flowers and macarons, we had an incredibly relaxing weekend.",50,May-21,Undisclosed,1,0,ShangriLa
My Wonderful Birthday Staycation❤️❤️❤️,"It was a great staycation at Shangri La hotel at Cuscaden. Check in was welcoming and informative and our luggage was brought to our room by the friendly conceige promptly. Our room at the Garden Wing was spacious and cozy. It is a very comfortable room for my family of 3. We were certainly delighted by the heart warming birthday cake sent from the Guest Relations. Thank you very much! Housekeeping was great too and even changed our bedsheets and kept the room neat and tidy. Buds isca great place for my adorable 5 year old son! He had a great adventurous time there. Oh yah, the picnic basket was beautiful. It was huge with lots of yummy food inside. We certainly enjoyed it. In addition ,our in room breakfast order was collected from our room with much professionalism.  Breakfast…",50,May-21,Travelled with family,7,5,ShangriLa
Staycation at Shangri La Hotel,This is the first time we have stayed at Shangri La Hotel and also to celebrate my daughter’s birthday. The checking in was smooth and the attending front desk staffs are so polite and professional. The decoration for my daughter’s birthday in her room was nicely arranged. It was an unforgettable experience for her. We are glad to have chosen Shangri La Hotel. I would like to thank all the staff and management of the hotel to let us have such a warm and memorable stay.,50,May-21,Travelled with family,1,0,ShangriLa
"Yes, it really is Shangri La","Time went so quickly - too quickly - just soaking in the gorgeous greenery around the hotel, the spacious room to relax in,  the pool deep enough to do laps  - and food!  Enhanced by friendly and sincere service every where - I never felt lonely.",50,May-21,Undisclosed,2,2,ShangriLa
